country,cinemas,admiss
Argentina,299,52125925
Australia,492,90400000
Austria,138,15922451
Azerbaijan,10,559391
Bahrain,6.5625,1267472.301
Belarus,131.8398438,12453220.18
Belgium,88,22407302
Bolivia (Plurinational State of),91,5089090
Bosnia and Herzegovina,11,823310.75
Brazil,742,172943242
Bulgaria,46,5335073
Burkina Faso,9,47786
Cambodia,8,320000
Chile,68,24629818
China,1555.233398,1260000000
Colombia,200,59140429
Costa Rica,29,8285121
Croatia,65,4315664
Cuba,309.6965332,1839198.828
Cyprus,6,715731
Czech Republic,469,12958099
Denmark,161,13789000
Dominican Republic,22.12524414,3643041.688
Egypt,69,9561000
Estonia,49,3093282
Finland,177,8743961
France,2033,202264997
Georgia,5,719705
Germany,1586,135035050
Greece,336,9810000
Hungary,121,12511805
Iceland,15.609375,1457412.813
Iran (Islamic Republic of),180,10740000
Ireland,94,15542561.56
Israel,49.375,13000000
Italy,1152,99263549
Japan,585,166630000
Kazakhstan,89,12245065.31
Lao People's Democratic Republic,2,165981
Latvia,16,2352638
Lebanon,53.30175781,3800000
Lithuania,29,3330451
Luxembourg,13.625,1248025.625
Malaysia,116.25,68100000
Malta,8,704243
Mexico,666,286340272
Montenegro,29,261256
Morocco,31,1842348
Netherlands,269,32970000
New Zealand,119,15466000
Norway,201,12037244
Philippines,200.375,40606666.67
Poland,444,45785551
Portugal,165,14542320
Qatar,34.4453125,3000000
Republic of Korea,312.1875,217300000
Republic of Moldova,6,382800
Romania,82,11166861
Russian Federation,1006.875,174100000
Senegal,6,29212
Serbia,76,3161658
Singapore,33,21715437.5
Slovakia,110,4614507
Slovenia,58,2101500
South Africa,677,30761111.11
Spain,711,96137282
Sweden,418,16849936
Switzerland,273,14407373
Macedonia,4,456358
Turkey,564.125,60500000
Ukraine,248,10850000
United Kingdom of Great Britain and Northern Ireland,751,171900000
United States of America,5723.375,1197000000
